threshold,tp,tn,fn,fp,ppv,sensitivity,specificity,accuracy,f1,mcc,pos,neg
0.7893388276329086,0.0,267.0,83.0,0.0,0.0,0.0,1.0,0.7628571428571429,0.0,0.0,0.0,350.0
0.7421479975156512,2.0,267.0,81.0,0.0,1.0,0.024096385542168676,1.0,0.7685714285714286,0.047058823529411764,0.0,2.0,348.0
0.7291127067837924,3.0,267.0,80.0,0.0,1.0,0.03614457831325301,1.0,0.7714285714285715,0.06976744186046512,0.0,3.0,347.0
0.6109198779121582,4.0,266.0,79.0,1.0,0.8,0.04819277108433735,0.9962546816479401,0.7714285714285715,0.09090909090909091,0.18177348995064238,5.0,345.0
0.535784113929122,5.0,265.0,78.0,2.0,0.7142857142857143,0.060240963855421686,0.9925093632958801,0.7714285714285715,0.1111111111111111,0.09150621152368218,7.0,343.0
0.5327245403443808,6.0,264.0,77.0,3.0,0.6666666666666666,0.07228915662650602,0.9887640449438202,0.7714285714285715,0.13043478260869565,0.06250464804968478,9.0,341.0
0.5251341832515557,7.0,264.0,76.0,3.0,0.7,0.08433734939759036,0.9887640449438202,0.7742857142857142,0.15053763440860216,0.07099876375574557,10.0,340.0
0.48843050835027835,13.0,263.0,70.0,4.0,0.7647058823529411,0.1566265060240964,0.9850187265917603,0.7885714285714286,0.26,0.0794350309342225,17.0,333.0
0.4609942023104576,14.0,261.0,69.0,6.0,0.7,0.1686746987951807,0.9775280898876404,0.7857142857142857,0.27184466019417475,0.05078076141453269,20.0,330.0
0.4570067174803808,14.0,260.0,69.0,7.0,0.6666666666666666,0.1686746987951807,0.9737827715355806,0.7828571428571428,0.2692307692307692,0.04154841877868306,21.0,329.0
0.4508377579129308,15.0,258.0,68.0,9.0,0.625,0.18072289156626506,0.9662921348314607,0.78,0.2803738317757009,0.0314372245758248,24.0,326.0
0.44276620470373496,16.0,257.0,67.0,10.0,0.6153846153846154,0.1927710843373494,0.9625468164794008,0.78,0.29357798165137616,0.028830489921145987,26.0,324.0
0.4258448498419468,17.0,255.0,66.0,12.0,0.5862068965517241,0.20481927710843373,0.9550561797752809,0.7771428571428571,0.30357142857142855,0.023599982488289237,29.0,321.0
0.42531469611574646,17.0,254.0,66.0,13.0,0.5666666666666667,0.20481927710843373,0.951310861423221,0.7742857142857142,0.3008849557522124,0.020999035914252423,30.0,320.0
