threshold,tp,tn,fn,fp,ppv,sensitivity,specificity,accuracy,f1,mcc,pos,neg
2.6248206439514252,0.0,284.0,55.0,0.0,0.0,0.0,1.0,0.8377581120943953,0.0,0.0,0.0,339.0
2.2098115450313895,2.0,284.0,53.0,0.0,1.0,0.03636363636363636,1.0,0.8436578171091446,0.07017543859649122,0.0,2.0,337.0
2.1591790688396153,3.0,284.0,52.0,0.0,1.0,0.05454545454545454,1.0,0.8466076696165191,0.10344827586206896,0.0,3.0,336.0
1.6352788958688649,8.0,283.0,47.0,1.0,0.8888888888888888,0.14545454545454545,0.9964788732394366,0.8584070796460177,0.25,0.352108620749354,9.0,330.0
1.4424629532563387,9.0,283.0,46.0,1.0,0.9,0.16363636363636364,0.9964788732394366,0.8613569321533924,0.27692307692307694,0.37683038275998704,10.0,329.0
1.4384755963904834,9.0,282.0,46.0,2.0,0.8181818181818182,0.16363636363636364,0.9929577464788732,0.8584070796460177,0.2727272727272727,0.17631922221033158,11.0,328.0
1.4095838134082737,10.0,282.0,45.0,2.0,0.8333333333333334,0.18181818181818182,0.9929577464788732,0.8613569321533924,0.29850746268656714,0.18841330829441114,12.0,327.0
1.4058313972372025,11.0,281.0,44.0,3.0,0.7857142857142857,0.2,0.9894366197183099,0.8613569321533924,0.3188405797101449,0.12649461220005498,14.0,325.0
1.3093445922282134,12.0,279.0,43.0,5.0,0.7058823529411765,0.21818181818181817,0.9823943661971831,0.8584070796460177,0.3333333333333333,0.07344806890844063,17.0,322.0
1.2739795078276277,13.0,278.0,42.0,6.0,0.6842105263157895,0.23636363636363636,0.9788732394366197,0.8584070796460177,0.35135135135135137,0.06235101355153855,19.0,320.0
1.2203886362698413,14.0,278.0,41.0,6.0,0.7,0.2545454545454545,0.9788732394366197,0.8613569321533924,0.37333333333333335,0.0659058970222138,20.0,319.0
1.2031230134340332,14.0,277.0,41.0,7.0,0.6666666666666666,0.2545454545454545,0.9753521126760564,0.8584070796460177,0.3684210526315789,0.05449373857231487,21.0,318.0
1.128728821893921,15.0,274.0,40.0,10.0,0.6,0.2727272727272727,0.9647887323943662,0.8525073746312685,0.375,0.036515058244359536,25.0,314.0
1.0402129629470787,15.0,273.0,40.0,11.0,0.5769230769230769,0.2727272727272727,0.9612676056338029,0.8495575221238938,0.37037037037037035,0.03218577940304261,26.0,313.0
1.0368155059243536,16.0,273.0,39.0,11.0,0.5925925925925926,0.2909090909090909,0.9612676056338029,0.8525073746312685,0.3902439024390244,0.03403826552394538,27.0,312.0
1.0124103953124557,16.0,272.0,39.0,12.0,0.5714285714285714,0.2909090909090909,0.9577464788732394,0.8495575221238938,0.3855421686746988,0.030322758755265588,28.0,311.0
1.008871698762779,17.0,272.0,38.0,12.0,0.5862068965517241,0.3090909090909091,0.9577464788732394,0.8525073746312685,0.40476190476190477,0.03197401810301789,29.0,310.0
0.9930785315044548,17.0,271.0,38.0,13.0,0.5666666666666667,0.3090909090909091,0.954225352112676,0.8495575221238938,0.4,0.02874114688606276,30.0,309.0
0.9878112553497673,18.0,271.0,37.0,13.0,0.5806451612903226,0.32727272727272727,0.954225352112676,0.8525073746312685,0.4186046511627907,0.030226066310324082,31.0,308.0
0.969376623345167,18.0,270.0,37.0,14.0,0.5625,0.32727272727272727,0.9507042253521126,0.8495575221238938,0.41379310344827586,0.027380519593282818,32.0,307.0
0.8599990009373034,19.0,268.0,36.0,16.0,0.5428571428571428,0.34545454545454546,0.9436619718309859,0.8466076696165191,0.4222222222222222,0.024004009481890156,35.0,304.0
0.8361686189724664,20.0,267.0,35.0,17.0,0.5405405405405406,0.36363636363636365,0.9401408450704225,0.8466076696165191,0.43478260869565216,0.023173617123643842,37.0,302.0
0.8013490295758534,21.0,265.0,34.0,19.0,0.525,0.38181818181818183,0.9330985915492958,0.8436578171091446,0.4421052631578947,0.02082888428506947,40.0,299.0
0.7598133918874558,23.0,264.0,32.0,20.0,0.5348837209302325,0.41818181818181815,0.9295774647887324,0.8466076696165191,0.46938775510204084,0.0211548653887371,43.0,296.0
0.7585393707260152,24.0,264.0,31.0,20.0,0.5454545454545454,0.43636363636363634,0.9295774647887324,0.8495575221238938,0.48484848484848486,0.022006481679388425,44.0,295.0
0.7391012513316774,24.0,263.0,31.0,21.0,0.5333333333333333,0.43636363636363634,0.926056338028169,0.8466076696165191,0.48,0.02060300225305957,45.0,294.0
0.7009394708554202,25.0,263.0,30.0,21.0,0.5434782608695652,0.45454545454545453,0.926056338028169,0.8495575221238938,0.49504950495049505,0.021400137074228002,46.0,293.0
0.6793193591358279,25.0,262.0,30.0,22.0,0.5319148936170213,0.45454545454545453,0.9225352112676056,0.8466076696165191,0.49019607843137253,0.020098379803741354,47.0,292.0
0.6420919786552349,26.0,262.0,29.0,22.0,0.5416666666666666,0.4727272727272727,0.9225352112676056,0.8495575221238938,0.5048543689320388,0.020846861906892968,48.0,291.0
