1,12046
1,12083
1,12085
1,12201
1,12203
1,12055
1,12204
1,12023
1,12087
1,12205
1,12110
1,12009
1,12202
1,12189
1,12053
1,12159
1,12054
1,12084
1,12045
1,12229
1,12230
1,12243
1,12248
1,12239
1,12227
1,12238
1,12208
1,12222
1,12245
1,12246
1,12240
1,12233
1,12210
1,12241
1,12236
1,12224
1,12469
1,12306
1,12309
3,14737
3,14770
3,14774
3,14437
1,12261
3,14708
1,12255
1,12257
3,14060
3,14065
1,12460
3,14744
3,14711
1,12304
1,12288
3,14029
3,14786
3,14880
3,14895
3,14822
5,10472
5,10463
5,10468
5,10457
3,14804
5,10467
3,14807
3,14897
3,14802
5,10462
5,10456
5,10469
5,10453
5,10454
5,10464
3,14813
7,13744
7,13790
7,13745
5,10474
7,13777
7,13746
7,13760
5,10803
5,10704
7,13762
5,10499
7,13851
7,13850
7,13736
7,13813
7,13795
7,13835
7,13778
7,13802
9,14060
9,14730
9,14737
7,13905
9,14141
9,14747
9,14727
9,14065
9,14168
9,14171
9,14719
9,14030
9,14129
7,13902
9,14041
9,14743
9,14731
9,14133
11,13111
11,13021
9,14753
11,13113
11,13022
9,14766
11,13147
11,13033
9,14779
11,13071
11,13143
9,14788
9,14748
9,14783
11,13126
11,13034
11,13139
9,14770
11,13118
13,14750
13,14136
11,13160
13,14720
13,14728
13,14732
11,14882
13,14757
13,14138
13,14736
13,14740
13,14724
11,13166
13,14081
13,14733
13,14166
13,14135
13,14747
13,14701
13,14726
15,14871
15,14812
15,14904
15,14816
13,14785
15,14845
15,14830
13,14775
17,13072
13,14782
15,14892
15,14861
15,14805
13,14767
17,13052
17,13124
13,14769
13,14784
15,14859
15,14903
15,14905
15,14901
19,12921
17,13733
17,13863
17,13813
17,13809
19,12924
17,13746
17,13814
17,13411
17,13844
17,13778
17,13780
17,13843
17,13136
17,13758
17,13833
17,13155
17,13801
21,12165
21,12029
19,12958
19,12979
21,12060
21,12024
19,12962
19,12981
21,12132
19,12972
21,12017
21,12037
19,12955
21,12106
21,12075
19,12952
21,12130
19,12992
21,12062
23,13835
23,13784
21,12571
21,12534
21,12530
21,12513
21,12503
21,12174
23,13158
23,13803
23,13159
21,12565
23,13738
23,13052
23,13040
23,13087
21,12523
23,13077
21,12541
25,13740
25,12421
