GEO.id2,HC03_EST_VC01,GEO.id2,HC02_EST_VC03,HC02_EST_VC04,HC02_EST_VC05,HC02_EST_VC06,HC02_EST_VC09,HC02_EST_VC10,HC02_EST_VC11,HC02_EST_VC12,HC02_EST_VC13,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC17,HC02_EST_VC18,GEO.id2,HC04_EST_VC01,GEO.id2,HC04_EST_VC26,GEO.id2,HD01_VD01
Id2,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Id2,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Id2,Percent households receiving food stamps/SNAP; Estimate; Households,Id2,Unemployment rate; Estimate; Population 20 to 64 years,Id2,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
36005040600,13.6,36005040600,30.5,11.6,54.3,3.5,10.2,11.6,44,14.3,4.8,11.7,3.3,78.2,15.1,36005040600,36.2,36005040600,5.9,36005040800,32244
36005040701,13.4,36005040701,10.9,20.5,62.2,6.5,22.6,14.6,24.8,16.6,8.9,10.5,2,62.8,12.4,36005040701,53.9,36005040701,7.8,36005040900,46278
36005040702,11.9,36005040702,34,34.8,29.4,1.8,19.8,15.2,25.7,17.1,6.3,8.9,7.1,65,16,36005040702,46.4,36005040702,19.2,36005041100,41047
36005040800,9.5,36005040800,27.8,15.1,41.7,15.4,9.8,9.5,39.5,15.2,8.3,12.9,4.7,80.7,17.6,36005040800,33.4,36005040800,15.8,36005041300,38796
36005040900,14.8,36005040900,9,0,72.9,18.1,5.4,9.7,39.7,16.1,5.4,18.9,4.8,84.9,23.8,36005040900,15.5,36005040900,13,36005041400,53750
36005041100,6.9,36005041100,21.6,29.8,36,12.6,13,7.2,31.7,12.9,6.2,21.2,7.8,79.8,29,36005041100,27.3,36005041100,13.7,36005041500,42207
36005041300,10.9,36005041300,20.4,49.2,26.7,3.6,12.6,12.6,24.7,21.8,9,13.6,5.8,74.8,19.3,36005041300,35.5,36005041300,13.7,36005041800,37829
36005041400,8,36005041400,8.1,17.8,52.2,21.8,9.2,8.3,34,14.9,6.6,18.4,8.6,82.4,27,36005041400,15.8,36005041400,19.7,36005041900,45127
36005041500,7.8,36005041500,8.5,38.6,46.3,6.5,9.9,12.9,22.2,17.8,14.6,17.8,4.8,77.2,22.6,36005041500,32.9,36005041500,12.9,36005042000,28125
36005041800,11.1,36005041800,22.4,27.4,32.5,17.7,12.6,11.3,34.4,12.3,6.1,18.7,4.7,76.1,23.4,36005041800,40.2,36005041800,13.9,36005042100,36768
36005041900,12,36005041900,24.2,31.8,40.5,3.6,15.4,8.2,29.5,17.3,7.2,16.9,5.6,76.4,22.4,36005041900,27.3,36005041900,10.7,36005042200,51701
36005042000,12.8,36005042000,18.6,25.9,39.4,16.1,19.8,9.4,29.5,23.7,6.3,7.9,3.4,70.8,11.3,36005042000,37.3,36005042000,10.8,36005042300,31786
36005042100,14.8,36005042100,21.1,31,40.9,6.9,19.5,18.7,17.5,14,5.1,12.6,12.7,61.9,25.3,36005042100,38.9,36005042100,12,36005042400,57716
36005042200,11.4,36005042200,19.8,31.4,44.2,4.7,7,9,40.9,17.4,9.7,13,3.1,84,16.1,36005042200,17.5,36005042200,13,36005042500,28643
36005042300,13.5,36005042300,14.5,38.3,40.1,7.1,12.8,11.9,34.4,16.4,6.7,12.5,5.3,75.3,17.8,36005042300,33.6,36005042300,16.8,36005042600,54306
36005042400,10.1,36005042400,23.1,28.9,45.9,2.1,7.5,14.4,22.4,22.3,10.4,18,5,78.1,22.9,36005042400,10.9,36005042400,7.4,36005042800,63017
