#Source: https://www.cdc.gov/growthcharts/percentile_data_files.htm,,,,,,,,,,,,,
#Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
24,-2.01118107,16.57502768,0.080592465,14.52095333,14.73731947,15.09032827,15.74164233,16.57502768,17.55718781,18.16219473,18.60948128,19.33801062,19.85985812
24.5,-1.982373595,16.54777487,0.080127429,14.50347667,14.71929257,15.07117474,15.71962876,16.54777487,17.52129279,18.11954923,18.56110634,19.27889813,19.79194014
25.5,-1.924100169,16.49442763,0.079233994,14.46882381,14.68360841,15.03335725,15.67634464,16.49442763,17.45135039,18.03668013,18.46729593,19.16465965,19.66102345
26.5,-1.86549793,16.44259552,0.078389356,14.43459737,14.64843329,14.99619505,15.634035,16.44259552,17.38383656,17.95700228,18.37736191,19.05567423,19.5365754
27.5,-1.807261899,16.3922434,0.077593501,14.40082828,14.61378626,14.95969047,15.5926798,16.3922434,17.3187102,17.88047101,18.29125345,18.9518675,19.41848805
28.5,-1.750118905,16.34333654,0.076846462,14.36754718,14.57968578,14.92384514,15.55225853,16.34333654,17.2559313,17.80704259,18.20892041,18.85316529,19.30665411
29.5,-1.69481584,16.29584097,0.076148308,14.33478414,14.54614966,14.88866003,15.51275057,16.29584097,17.19546093,17.73667414,18.1303131,18.75949359,19.20096691
30.5,-1.642106779,16.24972371,0.075499126,14.30256837,14.51319492,14.85413557,15.47413549,16.24972371,17.13726129,17.66932346,18.05538214,18.67077841,19.10132056
31.5,-1.592744414,16.20495268,0.074898994,14.27092833,14.48083795,14.82027189,15.43639319,16.20495268,17.0812953,17.6049486,17.98407812,18.58694589,19.00761051
32.5,-1.547442391,16.16149871,0.074347997,14.23988971,14.44909329,14.7870687,15.39950521,16.16149871,17.02752831,17.54350898,17.91635198,18.50792131,18.91973125
33.5,-1.506902601,16.11933258,0.073846139,14.2094782,14.41797561,14.7545259,15.36345335,16.11933258,16.97592485,17.48496295,17.85215384,18.43363072,18.83758072
34.5,-1.471770047,16.07842758,0.07339337,14.17971698,14.38749811,14.72264343,15.32822125,16.07842758,16.92645101,17.42926933,17.79143359,18.3639996,18.76105711
35.5,-1.442628957,16.03875896,0.072989551,14.15062715,14.35767293,14.69142152,15.2937943,16.03875896,16.87907357,17.37638677,17.73414053,18.29895323,18.69005992
36.5,-1.419991255,16.00030401,0.072634432,14.12222757,14.32851119,14.66086088,15.26015988,16.00030401,16.8337599,17.32627356,17.68022325,18.23841666,18.62449011
37.5,-1.404277619,15.96304277,0.072327649,14.09453413,14.30002256,14.63096272,15.22730791,15.96304277,16.79047852,17.27888795,17.62962965,18.1823144,18.5642493
38.5,-1.39586317,15.92695418,0.07206864,14.06756329,14.27221761,14.60172936,15.1952288,15.92695418,16.74919525,17.23418554,17.58230587,18.13057244,18.50924478
39.5,-1.394935252,15.89202582,0.071856805,14.04132288,14.24510202,14.57316316,15.16391901,15.89202582,16.70988247,17.19212545,17.53819888,18.08311311,18.45937719
40.5,-1.401671596,15.85824093,0.071691278,14.0158243,14.21868433,14.54526806,15.13337382,15.85824093,16.67250668,17.15266201,17.49725289,18.03986198,18.41455697
41.5,-1.416100312,15.82558822,0.071571093,13.99107332,14.19297011,14.51804847,15.10359281,15.82558822,16.63703787,17.11575098,17.45941207,18.00074262,18.37469187
42.5,-1.438164899,15.79405728,0.071495113,13.96707439,14.16796472,14.49150978,15.07457728,15.79405728,16.60344521,17.08134677,17.42461935,17.96567903,18.33969264
43.5,-1.467669032,15.76364255,0.071462106,13.94382698,14.14367089,14.4656578,15.04633235,15.76364255,16.57170092,17.04940504,17.39281759,17.9345935,18.30946785
44.5,-1.504376347,15.73433668,0.071470646,13.9213319,14.12009269,14.44049947,15.01886319,15.73433668,16.54177412,17.0198786,17.36394785,17.90741007,18.28393204
45.5,-1.547942838,15.70613566,0.071519218,13.8995866,14.09723246,14.4160421,14.99217766,15.70613566,16.51363577,16.99272087,17.33795095,17.88405183,18.26299911
46.5,-1.597896397,15.67904062,0.071606277,13.87858352,14.07508966,14.392293,14.96628719,15.67904062,16.48726082,16.96788739,17.31476822,17.86443983,18.24657949
47.5,-1.653732283,15.65305192,0.071730167,13.85831582,14.05366443,14.36926,14.94120325,15.65305192,16.46262258,16.94533215,17.29433999,17.84849622,18.2345875
48.5,-1.714869347,15.62817269,0.071889214,13.83877404,14.03295533,14.34695084,14.91693911,15.62817269,16.43969657,16.92501028,17.27660684,17.8361423,18.22693633
49.5,-1.780673181,15.604408,0.072081737,13.81994711,14.01295984,14.32537305,14.89350913,15.604408,16.41845985,16.90687779,17.26150966,17.82729891,18.22353875
50.5,-1.850468473,15.58176458,0.072306081,13.80182253,13.99367445,14.30453377,14.87092845,15.58176458,16.39889119,16.89089179,17.24898984,17.8218865,18.22430691
51.5,-1.923551865,15.56025067,0.072560637,13.78438667,13.97509464,14.2844396,14.84921259,15.56025067,16.38097113,16.87701073,17.23898952,17.81982523,18.22915216
52.5,-1.999220429,15.5398746,0.07284384,13.76762605,13.95721572,14.26509665,14.82837662,15.5398746,16.36468088,16.86519374,17.23145142,17.82103559,18.23798637
53.5,-2.076707178,15.52064993,0.073154324,13.75152248,13.94002947,14.24650943,14.80843749,15.52064993,16.3500079,16.85540483,17.22632105,17.82543578,18.25071444
54.5,-2.155348017,15.50258427,0.073490667,13.73606368,13.92353116,14.22868271,14.7894083,15.50258427,16.33693462,16.8476049,17.22354286,17.83294744,18.26724918
55.5,-2.234438552,15.48568973,0.073851672,13.72123322,13.90771281,14.21161954,14.77130343,15.48568973,16.32544946,16.84175987,17.22306443,17.84349028,18.28749643
56.5,-2.313321723,15.46997718,0.074236235,13.70701599,13.89256678,14.19532216,14.75413556,15.46997718,16.31554106,16.8378366,17.22483458,17.85698505,18.31136265
57.5,-2.391381273,15.45545692,0.074643374,13.69339739,13.87808525,14.1797919,14.73791599,15.45545692,16.30719914,16.83580365,17.22880383,17.87335318,18.33875356
58.5,-2.468032491,15.44213961,0.075072264,13.68036242,13.86425959,14.16502885,14.72265501,15.44213961,16.30041561,16.83563223,17.23492502,17.89251642,18.36957256
59.5,-2.542781541,15.43003207,0.075522104,13.66789962,13.85108308,14.15103287,14.70836004,15.43003207,16.29517994,16.83729272,17.24315148,17.91439894,18.40372671
60.5,-2.61516595,15.41914163,0.07599225,13.65599683,13.83854804,14.13780261,14.69503764,15.41914163,16.29148397,16.84075838,17.25343909,17.93892524,18.44112021
61.5,-2.684789516,15.40947356,0.076482128,13.64464353,13.82664746,14.1253362,14.68269244,15.40947356,16.28931904,16.84600319,17.26574515,17.96602144,18.48165813
62.5,-2.751316949,15.40103139,0.076991232,13.63383056,13.81537489,14.11363117,14.67132735,15.40103139,16.28867619,16.85300198,17.28002846,17.99561523,18.52524599
63.5,-2.81445945,15.39381785,0.077519149,13.62354907,13.8047237,14.10268433,14.66094403,15.39381785,16.28954723,16.86173124,17.29624981,18.02763543,18.57178832
64.5,-2.87402476,15.38783094,0.07806539,13.61379452,13.79469004,14.09249299,14.65154144,15.38783094,16.29191982,16.87216519,17.31436954,18.06201396,18.62119533
65.5,-2.92984048,15.38306945,0.078629592,13.60456106,13.78526882,14.08305345,14.64311821,15.38306945,16.29578396,16.88428085,17.33435063,18.09868317,18.67337395
66.5,-2.981796828,15.37952958,0.079211369,13.595845,13.77645627,14.0743621,14.63567131,15.37952958,16.30112773,16.89805459,17.35615653,18.13757754,18.72823379
67.5,-3.029831343,15.37720582,0.079810334,13.58764387,13.76824936,14.06641528,14.62919656,15.37720582,16.30793819,16.91346275,17.37975148,18.17863327,18.78568583
68.5,-3.073924224,15.37609107,0.080426086,13.57995642,13.76064574,14.05920932,14.62368881,15.37609107,16.31620135,16.93048153,17.40510042,18.22178824,18.84564261
69.5,-3.114093476,15.37617677,0.081058206,13.57278245,13.75364373,14.05274063,14.619142,15.37617677,16.32590217,16.94908693,17.43216882,18.26698191,18.90801826
70.5,-3.15039004,15.37745304,0.081706249,13.56612272,13.7472423,14.04700569,14.61554938,15.37745304,16.33702456,16.96925461,17.46092258,18.31415529,18.97272855
71.5,-3.182893018,15.37990886,0.082369741,13.55997887,13.74144099,14.04200114,14.6129036,15.37990886,16.34955145,16.99095993,17.49132795,18.36325085,19.03969094
