#AgeInMonths,f95-BMI,m95-BMI
#source: https://www.cdc.gov/growthcharts/percentile_data_files.htm
#"Age is listed at the half month point for the entire month; for example, 1.5 months represents 1.0-1.99 months or 1.0 month up to but not including 2.0 months of age."
#24,19.10624,19.33801
215.5,30.26812,28.89848
216.5,30.32554,28.95862
217.5,30.38304,29.01921
218.5,30.44063,29.0803
219.5,30.49835,29.14191
220.5,30.55623,29.20409
221.5,30.6143,29.26687
222.5,30.6726,29.3303
223.5,30.73114,29.39442
224.5,30.78997,29.45926
225.5,30.84911,29.52487
226.5,30.90861,29.5913
227.5,30.96849,29.65857
228.5,31.0288,29.72674
229.5,31.08956,29.79585
230.5,31.15082,29.86595
231.5,31.21261,29.93707
232.5,31.27496,30.00927
233.5,31.33793,30.08258
234.5,31.40154,30.15706
235.5,31.46583,30.23276
236.5,31.53085,30.30971
237.5,31.59664,30.38797
238.5,31.66324,30.46758
239.5,31.73069,30.54859
240,31.76474,30.58964
240.5,31.79903,30.63106
